filename,class,ymin,xmin,xmax,ymax,source,track_id,frame_id
gfp_solomon1_frame50.jpg,shark,73,145,351,272,gfp_solomon1,1,2
gfp_solomon1_frame75.jpg,shark,78,225,541,418,gfp_solomon1,1,3
gfp_solomon1_frame100.jpg,shark,226,406,747,606,gfp_solomon1,1,4
gfp_solomon1_frame125.jpg,shark,436,602,865,642,gfp_solomon1,1,5
gfp_solomon1_frame150.jpg,shark,226,242,900,667,gfp_solomon1,1,6
gfp_solomon1_frame175.jpg,shark,6,0,414,432,gfp_solomon1,1,7
gfp_solomon1_frame300.jpg,shark,152,884,1210,318,gfp_solomon1,3,12
gfp_solomon1_frame325.jpg,shark,162,825,1158,313,gfp_solomon1,3,13
gfp_solomon1_frame350.jpg,shark,94,712,1110,305,gfp_solomon1,3,14
gfp_solomon1_frame375.jpg,shark,95,635,1170,295,gfp_solomon1,3,15
gfp_solomon1_frame400.jpg,shark,90,558,1169,296,gfp_solomon1,3,16
gfp_solomon1_frame425.jpg,shark,75,482,978,337,gfp_solomon1,3,17
gfp_solomon1_frame450.jpg,shark,1,558,1280,336,gfp_solomon1,3,18
gfp_solomon1_frame475.jpg,shark,1,512,1280,351,gfp_solomon1,3,19
gfp_solomon1_frame500.jpg,shark,0,922,1279,327,gfp_solomon1,3,20
gfp_solomon1_frame550.jpg,shark,457,0,464,669,gfp_solomon1,6,22
gfp_solomon1_frame575.jpg,shark,422,104,830,633,gfp_solomon1,6,23
gfp_solomon1_frame600.jpg,shark,332,401,1131,603,gfp_solomon1,6,24
gfp_solomon1_frame625.jpg,shark,252,787,1254,466,gfp_solomon1,6,25
gfp_solomon1_frame650.jpg,shark,168,1044,1277,328,gfp_solomon1,6,26
gfp_solomon1_frame525.jpg,shark,152,0,342,412,gfp_solomon1,8,21
gfp_solomon1_frame550.jpg,shark,215,80,373,490,gfp_solomon1,8,22
gfp_solomon1_frame575.jpg,shark,303,101,357,522,gfp_solomon1,8,23
gfp_solomon1_frame600.jpg,shark,298,0,404,582,gfp_solomon1,8,24
gfp_solomon1_frame550.jpg,shark,214,0,87,391,gfp_solomon1,10,22
gfp_solomon1_frame575.jpg,shark,288,0,164,651,gfp_solomon1,10,23
gfp_solomon1_frame600.jpg,shark,549,9,313,678,gfp_solomon1,10,24
gfp_solomon1_frame625.jpg,shark,461,56,727,703,gfp_solomon1,10,25
gfp_solomon1_frame650.jpg,shark,333,459,1005,579,gfp_solomon1,10,26
gfp_solomon1_frame675.jpg,shark,244,745,1280,400,gfp_solomon1,10,27
gfp_solomon1_frame700.jpg,shark,202,1051,1280,419,gfp_solomon1,10,28
gfp_solomon1_frame725.jpg,shark,274,701,1138,512,gfp_solomon1,10,29
gfp_solomon1_frame750.jpg,shark,260,229,979,489,gfp_solomon1,10,30
