filename,class,ymin,xmin,xmax,ymax,source,track_id,frame_id
gfp_palau1_frame480.jpg,shark,455,0,431,715,gfp_palau1,2,16
gfp_palau1_frame510.jpg,shark,377,32,542,689,gfp_palau1,2,17
gfp_palau1_frame540.jpg,shark,325,21,712,638,gfp_palau1,2,18
gfp_palau1_frame570.jpg,shark,248,160,871,542,gfp_palau1,2,19
gfp_palau1_frame600.jpg,shark,233,452,901,450,gfp_palau1,2,20
gfp_palau1_frame690.jpg,shark,0,437,1277,456,gfp_palau1,4,23
gfp_palau1_frame720.jpg,shark,365,208,571,602,gfp_palau1,5,24
gfp_palau1_frame750.jpg,shark,246,32,602,603,gfp_palau1,5,25
gfp_palau1_frame780.jpg,shark,220,245,640,422,gfp_palau1,6,26
gfp_palau1_frame810.jpg,shark,211,285,1018,442,gfp_palau1,6,27
gfp_palau1_frame840.jpg,shark,364,0,172,512,gfp_palau1,7,28
gfp_palau1_frame870.jpg,shark,182,0,888,551,gfp_palau1,7,29
gfp_palau1_frame630.jpg,shark,207,817,1280,485,gfp_palau1,10,21
gfp_palau1_frame660.jpg,shark,31,702,820,146,gfp_palau1,10,22
gfp_palau1_frame120.jpg,shark,344,525,969,720,gfp_palau1,12,4
gfp_palau1_frame150.jpg,shark,425,376,1101,720,gfp_palau1,12,5
gfp_palau1_frame180.jpg,shark,427,739,1253,720,gfp_palau1,12,6
gfp_palau1_frame210.jpg,shark,258,568,1259,720,gfp_palau1,12,7
gfp_palau1_frame240.jpg,shark,207,686,1276,563,gfp_palau1,12,8
gfp_palau1_frame270.jpg,shark,328,621,1280,713,gfp_palau1,12,9
gfp_palau1_frame300.jpg,shark,414,695,1280,720,gfp_palau1,12,10
gfp_palau1_frame330.jpg,shark,494,659,1240,720,gfp_palau1,12,11
gfp_palau1_frame360.jpg,shark,512,645,1197,720,gfp_palau1,12,12
gfp_palau1_frame390.jpg,shark,382,538,1258,706,gfp_palau1,12,13
gfp_palau1_frame420.jpg,shark,431,558,1261,669,gfp_palau1,12,14
gfp_palau1_frame450.jpg,shark,376,602,956,720,gfp_palau1,12,15
gfp_palau1_frame900.jpg,shark,92,1163,1280,360,gfp_palau1,13,30
gfp_palau1_frame930.jpg,shark,1,892,1279,263,gfp_palau1,13,31
gfp_palau1_frame960.jpg,shark,2,552,1277,226,gfp_palau1,13,32
gfp_palau1_frame990.jpg,shark,2,136,1225,253,gfp_palau1,13,33
gfp_palau1_frame1020.jpg,shark,1,0,714,253,gfp_palau1,13,34
gfp_palau1_frame1050.jpg,shark,0,2,508,274,gfp_palau1,13,35
